beam,family,order,regime,metric,psd_a,psd_b,difference_a_minus_b,relative_difference_percent,ci95_lower,ci95_upper,ci_excludes_zero
LG03,LG,3,strong,entropy,modified_von_karman,kolmogorov,-0.030817524321027356,-4.515588874333043,-0.032591490102292744,-0.029102447861234858,True
BG01,BG,1,weak,retention,von_karman,kolmogorov,0.04992078735618177,7.451904638700101,0.037040698835518436,0.06258981366029895,True
BG01,BG,1,weak,spread,von_karman,kolmogorov,-0.03981893923801105,-3.02661153879237,-0.049182417332152915,-0.030484242646761056,True
BG01,BG,1,weak,entropy,von_karman,kolmogorov,-0.01413093864901635,-8.636304754046769,-0.017905789433118206,-0.010075224798961467,True
BG01,BG,1,weak,retention,modified_von_karman,von_karman,0.004094338868395608,0.5687946835249832,-0.007583006020958644,0.015857252352776265,False
BG01,BG,1,weak,spread,modified_von_karman,von_karman,-0.25773392069644907,-20.201611104452066,-0.2665888333631348,-0.24848164563915057,True
BG01,BG,1,weak,entropy,modified_von_karman,von_karman,-0.0030280196039459972,-2.0255453651254802,-0.006781485806467566,0.0007617800543828414,False
BG01,BG,1,weak,retention,modified_von_karman,kolmogorov,0.05401512622457738,8.063085359631362,0.04166669557366692,0.06661851387091648,True
BG01,BG,1,weak,spread,modified_von_karman,kolmogorov,-0.2975528599344601,-22.61679835053513,-0.30757097447694426,-0.28732448037300695,True
BG01,BG,1,weak,entropy,modified_von_karman,kolmogorov,-0.017158958252962347,-10.486917848508543,-0.021062620768441686,-0.013187217578136162,True
BG01,BG,1,moderate,retention,von_karman,kolmogorov,0.023850022727666897,12.416802031769816,0.014077997242175991,0.033856520366446895,True
BG01,BG,1,moderate,spread,von_karman,kolmogorov,-0.11166147383505276,-2.632950767835527,-0.1414968933632719,-0.08036256914068884,True
BG01,BG,1,moderate,entropy,von_karman,kolmogorov,-0.011239542367053101,-2.9330990284876455,-0.014421653137537046,-0.008088797638318507,True
BG01,BG,1,moderate,retention,modified_von_karman,von_karman,-0.005126174557325863,-2.374013170127839,-0.01563216312199103,0.0046718325785328535,False
BG01,BG,1,moderate,spread,modified_von_karman,von_karman,-0.8520357094915916,-20.63408288855141,-0.8825300800500693,-0.8220180254109556,True
BG01,BG,1,moderate,entropy,modified_von_karman,von_karman,-0.0075891110317184984,-2.040317900759825,-0.010744858474919917,-0.004436044799824646,True
BG01,BG,1,moderate,retention,modified_von_karman,kolmogorov,0.018723848170341034,9.74801234609906,0.009144443382643211,0.028668586203705063,True
BG01,BG,1,moderate,spread,modified_von_karman,kolmogorov,-0.9636971833266443,-22.723748412537006,-0.9962641085548392,-0.9300555576478124,True
BG01,BG,1,moderate,entropy,modified_von_karman,kolmogorov,-0.0188286533987716,-4.913572384722225,-0.022029187451126565,-0.015705627589089437,True
BG01,BG,1,strong,retention,von_karman,kolmogorov,0.0028048819467436717,5.9794509078703895,0.0013345092143755189,0.0042649338628722834,True
BG01,BG,1,strong,spread,von_karman,kolmogorov,-0.6225287020265284,-3.8716031282154977,-0.7555360781678475,-0.48496263259354266,True
BG01,BG,1,strong,entropy,von_karman,kolmogorov,-0.007546255584751305,-1.193378181540823,-0.009575143441426938,-0.0055201007279738045,True
BG01,BG,1,strong,retention,modified_von_karman,von_karman,0.0029583664653588804,5.950822868196378,0.001467944044453206,0.004440690480385699,True
BG01,BG,1,strong,spread,modified_von_karman,von_karman,-3.4620363288687237,-22.398110023286986,-3.590575503295878,-3.3340923942609,True
BG01,BG,1,strong,entropy,modified_von_karman,von_karman,-0.024608128128460027,-3.938574923162071,-0.0266257389465272,-0.022602785900710777,True
BG01,BG,1,strong,retention,modified_von_karman,kolmogorov,0.005763248412102552,12.286100308084896,0.004275836567522259,0.007273643396596867,True
BG01,BG,1,strong,spread,modified_von_karman,kolmogorov,-4.084565030895252,-25.402547223179756,-4.224271639191667,-3.9430369012686244,True
BG01,BG,1,strong,entropy,modified_von_karman,kolmogorov,-0.03215438371321133,-5.08495101090624,-0.034231552143591054,-0.030094822361055224,True
BG02,BG,2,weak,retention,von_karman,kolmogorov,0.06720525866293814,11.623885654725239,0.05180981526972163,0.08162652527814118,True
BG02,BG,2,weak,spread,von_karman,kolmogorov,-0.04967487498999601,-3.136229901706294,-0.060737652862282984,-0.03864046534805329,True
BG02,BG,2,weak,entropy,von_karman,kolmogorov,-0.01774671699912847,-9.150750504383673,-0.02178998222417454,-0.013754037119457435,True
BG02,BG,2,weak,retention,modified_von_karman,von_karman,0.004519428722427499,0.7002844408736785,-0.009187051342137077,0.018207038319483747,False
BG02,BG,2,weak,spread,modified_von_karman,von_karman,-0.2925562680560272,-19.06861486268671,-0.3031805129066275,-0.28140233830239986,True
BG02,BG,2,weak,entropy,modified_von_karman,von_karman,-0.002870517903675124,-1.6292120239986745,-0.006699114969716235,0.0010394111934535068,False
BG02,BG,2,weak,retention,modified_von_karman,kolmogorov,0.07172468738536564,12.405570358263907,0.056781001137691904,0.08622323331340749,True
BG02,BG,2,weak,spread,modified_von_karman,kolmogorov,-0.3422311430460232,-21.606809163228213,-0.354053438042281,-0.3303601165043139,True
BG02,BG,2,weak,entropy,modified_von_karman,kolmogorov,-0.020617234902803594,-10.630877400878807,-0.02477466087802302,-0.016478265320792693,True
BG02,BG,2,moderate,retention,von_karman,kolmogorov,0.0199373880396381,14.221696812601468,0.012176515001748763,0.027895410241905668,True
BG02,BG,2,moderate,spread,von_karman,kolmogorov,-0.16542172110687492,-3.255201191729165,-0.20257502717371648,-0.1296911997511111,True
