family,psd,regime,metric,order_a,order_b,difference_a_minus_b,ci95_lower,ci95_upper,ci_excludes_zero
BG,von_karman,moderate,retention,2,1,-0.05580132195128343,-0.06510448640678239,-0.046380158975823975,True
BG,von_karman,moderate,spread,2,1,0.7870809277506643,0.7579552265501265,0.817243083253623,True
BG,von_karman,moderate,entropy,2,1,0.03308008376123184,0.030074930891491637,0.03599616925744742,True
BG,von_karman,moderate,retention,3,2,-0.030361129921125746,-0.037871970018881436,-0.02249818023624522,True
BG,von_karman,moderate,spread,3,2,0.7021633200888795,0.6689082173358752,0.7377294643931106,True
BG,von_karman,moderate,entropy,3,2,0.02476015262951875,0.022157619609098726,0.027492575542097376,True
BG,von_karman,strong,retention,2,1,-0.011347307516161198,-0.012638438464369583,-0.01011167453992052,True
BG,von_karman,strong,spread,2,1,2.0978400322892377,1.9696257579066043,2.222390644067299,True
BG,von_karman,strong,entropy,2,1,0.02941272709342624,0.027636660664299997,0.03126110155940414,True
BG,von_karman,strong,retention,3,2,-0.005975753469464322,-0.006992527316466135,-0.004973386784497629,True
BG,von_karman,strong,spread,3,2,1.83365164748567,1.694718990203353,1.9710075728510612,True
BG,von_karman,strong,entropy,3,2,0.02083845660038819,0.01918094818493,0.02247919890833499,True
BG,modified_von_karman,weak,retention,2,1,-0.07403168224396772,-0.08654984334641848,-0.061639137061021414,True
BG,modified_von_karman,weak,spread,2,1,0.22359816626802953,0.2126307664377064,0.23436590354366946,True
BG,modified_von_karman,weak,entropy,2,1,0.026856496954343917,0.023056051175867672,0.030710610326953918,True
BG,modified_von_karman,weak,retention,3,2,-0.06923726053650014,-0.08362716515252828,-0.05473826852169646,True
BG,modified_von_karman,weak,spread,3,2,0.201282363082826,0.18913992545558825,0.2140325548959014,True
BG,modified_von_karman,weak,entropy,3,2,0.023488940842960243,0.019570337358656865,0.027434938882822165,True
BG,modified_von_karman,moderate,retention,2,1,-0.04721202777826927,-0.05645910275075877,-0.03798525158544714,True
BG,modified_von_karman,moderate,spread,2,1,0.6941136115486426,0.6599176140748693,0.7292153049743457,True
BG,modified_von_karman,moderate,entropy,2,1,0.031927524717267286,0.02898374357005059,0.03480805112891711,True
BG,modified_von_karman,moderate,retention,3,2,-0.031164356456287373,-0.038942812314868715,-0.023476536024107476,True
BG,modified_von_karman,moderate,spread,3,2,0.6227797627835372,0.5831575179126254,0.6627571186451087,True
BG,modified_von_karman,moderate,entropy,3,2,0.025652387718057723,0.022889727273158682,0.028363443261348837,True
BG,modified_von_karman,strong,retention,2,1,-0.01175095394494094,-0.013194068480081516,-0.010380318110095306,True
BG,modified_von_karman,strong,spread,2,1,1.9080613682150354,1.7696055913820188,2.0439385886831927,True
BG,modified_von_karman,strong,entropy,2,1,0.029655247206904822,0.027622144373428175,0.03165729704284301,True
BG,modified_von_karman,strong,retention,3,2,-0.006832347733480841,-0.007966371032726028,-0.005741000595248701,True
BG,modified_von_karman,strong,spread,3,2,1.7980944272036101,1.650003153432307,1.950189223190555,True
BG,modified_von_karman,strong,entropy,3,2,0.023287463257123497,0.0214447723282945,0.025093087461594922,True
