order,psd,regime,metric,difference_BG_minus_LG,relative_difference_percent,ci95_lower,ci95_upper,ci_excludes_zero
2,kolmogorov,moderate,spread,0.026346393145885827,0.5211514176703086,-0.014174554074778965,0.0656426047806266,False
2,kolmogorov,moderate,entropy,0.002484123183632281,0.597885466132796,-0.0004779816691500007,0.005561270214665047,False
2,kolmogorov,strong,retention,-0.0008593340031683994,-2.3441751621970326,-0.0019038632240033194,0.00016570382637271855,False
2,kolmogorov,strong,spread,0.019669916492777162,0.10791016579938946,-0.1332304611220155,0.18239931478418767,False
2,kolmogorov,strong,entropy,0.00044558314590048553,0.06739059805721521,-0.0014956629772769708,0.0023689866369676596,False
2,von_karman,weak,retention,0.0037177494623058527,0.5794021536176848,-0.010071856074200709,0.017634994640970715,False
2,von_karman,weak,spread,-0.0040366486011069735,-0.2624155282515932,-0.013883417983078277,0.005920283595872902,False
2,von_karman,weak,entropy,-0.001480589022257145,-0.8333311128908272,-0.005522277371305552,0.002537008216647298,False
2,von_karman,moderate,retention,0.0007257283775018164,0.4552829990968179,-0.0074940965829976116,0.009103398133401023,False
2,von_karman,moderate,spread,-0.011930898364894915,-0.24209072983659533,-0.04424662069471689,0.02027363289301609,False
2,von_karman,moderate,entropy,-0.0020462098074778834,-0.5026510339389273,-0.004914086601002962,0.0007310438573827318,False
2,von_karman,strong,retention,-0.00010978809049463911,-0.28534137506523277,-0.0011828729693517308,0.0009779841145705055,False
2,von_karman,strong,spread,-0.013019190364538247,-0.07410875176793205,-0.14563625841405736,0.11974495629630977,False
2,von_karman,strong,entropy,0.00015932856257128147,0.02436025975252358,-0.001555162327479015,0.0019135572858488357,False
2,modified_von_karman,weak,retention,0.0013619484105008572,0.2100061360976925,-0.012453158417502665,0.015280259993746721,False
2,modified_von_karman,weak,spread,-0.0024964791057779934,-0.20065426540714726,-0.014101176112183688,0.009002510498589392,False
2,modified_von_karman,weak,entropy,-0.001318125490049643,-0.7547751187430738,-0.005114089158241434,0.002558480614441933,False
2,modified_von_karman,moderate,retention,-0.0009981013427162455,-0.6064221094653441,-0.009575334535597868,0.007170612776312027,False
2,modified_von_karman,moderate,spread,-0.0037003160878636976,-0.09308872954375831,-0.0424246485931132,0.03281701992518706,False
2,modified_von_karman,moderate,entropy,-0.0012503931386246836,-0.3145278422030916,-0.004125966325162073,0.0017034948922791757,False
2,modified_von_karman,strong,retention,-0.00020093670534700875,-0.4886365017262015,-0.0014149564793984257,0.0010151904311136504,False
2,modified_von_karman,strong,spread,-0.026771911745601784,-0.1921941224493603,-0.17092697895500802,0.12035943519576801,False
2,modified_von_karman,strong,entropy,-0.0003947152891731198,-0.06262940142155526,-0.002355713393938499,0.0015327026830707102,False
