beam,family,order,psd,regime,n,retention_mean,spread_mean,entropy_mean,beam_wander_m,retention_mean_spectrum,spread_mean_spectrum,entropy_mean_spectrum,entropy_gap,signed_asymmetry,absolute_asymmetry,mean_total_power
BG02,BG,2,modified_von_karman,moderate,1750,0.16359044632686456,3.971341674494129,0.3962956968565818,0.005251800402241355,0.16359044632686504,4.011066673491225,0.42884837354744937,0.03255267669086759,-0.004579896545260397,0.006415850860000425,1.0000000000000089
BG02,BG,2,modified_von_karman,strong,1750,0.04092098207009477,13.902848518065253,0.6298448849846848,0.016600285336564494,0.040920982070094716,14.077257391001396,0.6455992316669488,0.015754346682263942,-0.027230455944548176,0.036311991790900236,1.0000000000000082
BG03,BG,3,kolmogorov,weak,1750,0.5163286376005541,1.807697188157666,0.21357793274397077,0.001905301912949734,0.5163286376005538,1.818794695801354,0.24310925943109554,0.02953132668712477,-0.0019506923539484252,0.004001152894706821,1.000000000000009
BG03,BG,3,kolmogorov,moderate,1750,0.11269753854007693,5.801543508776905,0.4420856104339097,0.006065128662439742,0.11269753854007687,5.839889748729616,0.4745013557698359,0.03241574533592617,-0.002137319698393911,0.010231099755831004,1.0000000000000087
BG03,BG,3,kolmogorov,strong,1750,0.02983731645460112,20.2088357515728,0.6833228183561362,0.018765864739427277,0.029837316454601095,20.36714068788378,0.6971239184906614,0.01380110013452518,-0.031207017028585957,0.03653752679266922,1.000000000000008
BG03,BG,3,von_karman,weak,1750,0.5865381722024917,1.757002798088374,0.19651022137093307,0.0015987045782885176,0.5865381722024913,1.7647005478318358,0.22224964679281686,0.025739425421883788,-0.00015907124691963374,0.002611134179098477,1.000000000000009
BG03,BG,3,von_karman,moderate,1750,0.12976619679005053,5.6185080202766216,0.4297975195617836,0.0050516617373903465,0.12976619679005066,5.643072517487031,0.4629472610206432,0.03314974145885963,-0.005606945419475405,0.010074471936013154,1.0000000000000089
BG03,BG,3,von_karman,strong,1750,0.03239050856405131,19.38831515849385,0.6750489496000545,0.015523250568863901,0.032390508564051346,19.501913459977615,0.6877333936051536,0.01268444400509916,-0.025900895945910066,0.031317639160859216,1.0000000000000082
BG03,BG,3,modified_von_karman,weak,1750,0.5806526003476125,1.4429553516494105,0.19680898999818985,0.0015880355775065426,0.5806526003476127,1.4559181350981876,0.22236870185459423,0.025559711856404377,-0.0024321696311384888,0.005589232480830034,1.000000000000009
BG03,BG,3,modified_von_karman,moderate,1750,0.1324260898705772,4.594121437277666,0.4219480845746395,0.005030587214485421,0.13242608987057722,4.6378922134027425,0.4550632682993798,0.033115183724740316,-0.010767298719443413,0.01674283070324276,1.0000000000000089
BG03,BG,3,modified_von_karman,strong,1750,0.03408863433661393,15.700942945268864,0.6531323482418083,0.016149260147720036,0.03408863433661391,15.866153112659148,0.6677991241526504,0.01466677591084209,-0.02638190786438441,0.03411317639482538,1.0000000000000082
