parameterization,ell,kr_bg_m-1,w0_bg_m,kr_w0_product,lg_initial_r_rms_m,bg_initial_r_rms_m,initial_matching_error_percent,lg_final_r_rms_m,bg_final_r_rms_m,lg_growth_percent,bg_growth_percent,max_abs_relative_difference_percent,median_relative_difference_percent,lg_kperp_rms_rad_m,bg_kperp_rms_rad_m,kperp_relative_difference_percent,lg_theta_rms_rad,bg_theta_rms_rad,theta_relative_difference_percent
fixed_product_adjust_kr,18,113.11662925525246,0.02652129947428307,3.0,0.0770551750371122,0.07705517619949008,1.5085007255497375e-06,0.08095803951979198,0.08095804975997063,5.065025782888735,5.065037487392547,1.264874830247755e-05,4.505026589280618e-06,246.57656011875906,246.57685567035412,0.00011986199941979444,2.4833526247404527e-05,2.4833556013365616e-05,0.00011986199942861105
fixed_product_adjust_kr,19,113.44977738585861,0.02644341900995168,3.0,0.07905694150420949,0.07905694145658126,-6.024546346659262e-08,0.0830611959306395,0.0830612032579407,5.065025727331993,5.065035059013264,8.821569584027832e-06,2.3288027481399627e-06,252.98221281347034,252.98245142662296,9.432013024327029e-05,2.5478660335775517e-05,2.547868436728113e-05,9.432013024371901e-05
fixed_product_adjust_kr,20,113.7522338162968,0.02637310845996066,3.0,0.08100925873009826,0.0810092586535687,-9.447014040892592e-08,0.08511239844084646,0.08511240430945717,5.06502562184749,5.06503296547291,6.895130223104294e-06,1.78560640279513e-06,259.2296279363144,259.22982026556275,7.419261829559317e-05,2.6107857804329937e-05,2.6107877174433223e-05,7.419261829627064e-05
fixed_kr_adjust_w0,1,150.0,0.048533184894674626,7.279977734201194,0.025,0.025000099278642426,0.00039711456970015213,0.02626625659499351,0.02928816724651267,5.065026379974038,17.152203757580818,11.504915596138469,3.2210459534949396,80.0,151.49454443616023,89.36818054520027,8.05705983908411e-06,1.5257507622711621e-05,89.3681805452003
fixed_kr_adjust_w0,2,150.0,0.05516540084388311,8.274810126582468,0.03061862178478973,0.030618528367024656,-0.00030510114311730236,0.032169462644449025,0.03420267109924193,5.065025037899324,11.705796860169484,6.320305928839458,1.7384385918080645,97.97958971132711,151.3436909788567,54.46450778652356,9.867842716413403e-06,1.524231468105628e-05,54.46450778652357
fixed_kr_adjust_w0,3,150.0,0.058022803671387936,8.70342055070819,0.03535533905932738,0.03535489439900185,-0.0012576893260348382,0.03714609588879252,0.03850538059911223,5.065025190283688,8.91103269763783,3.6592936021839715,0.9964093799156024,113.1370849898476,151.46328799618917,33.875897553645466,1.1394403297284335e-05,1.5254359685121577e-05,33.875897553645466
fixed_kr_adjust_w0,4,150.0,0.05766766878683284,8.650150318024926,0.03952847075210474,0.03952854347554907,0.0001839773786977138,0.04153059819631527,0.042384659380911814,5.065026311709575,7.225451924707099,2.05646251604514,0.5574199304843723,126.49110640673516,151.87210006204626,20.06543730726642,1.2739330167887757e-05,1.5295532476090952e-05,20.065437307266418
fixed_kr_adjust_w0,5,150.0,0.05412200852795404,8.118301279193107,0.04330127018922194,0.043301648828503306,0.0008744299640902188,0.045494491372448015,0.04595781227828127,5.065027362111856,6.134093092615775,1.0184110028623032,0.27558857656764013,138.56406460551017,152.88598492941372,10.335955692897613,1.39552370009164e-05,1.5397644114169972e-05,10.335955692897613
fixed_kr_adjust_w0,6,150.0,0.0475467969446578,7.13201954169867,0.04677071733467427,0.04677071298895834,-9.291531497890842e-06,0.04913966711637078,0.049326329148595485,5.065027685475003,5.464137697110751,0.3798601886794632,0.1023104784097828,149.66629547095764,155.60229912413604,3.966159270862871,1.507337873129436e-05,1.5671212939277864e-05,3.9661592708628692
fixed_kr_adjust_w0,7,150.0,0.040590688776101724,6.088603316415258,0.05000000000000001,0.04999902434449178,-0.0019513110164626197,0.05253251362119222,0.052587901972003304,5.065027242384417,5.177856291103275,0.10543632313215774,0.02694536205979597,160.0,161.81360137186698,1.1335008574168626,1.611411967816822e-05,1.6296773362885438e-05,1.133500857416877
fixed_kr_adjust_w0,8,150.0,0.03625974537551135,5.438961806326702,0.05303300858899107,0.05303213270409971,-0.001651584389916739,0.05571914443833085,0.05573722871175262,5.0650263313505155,5.100862193769155,0.03245612186631525,0.007523917457032218,169.70562748477138,170.31698274248365,0.36024454036865816,1.70916049459265e-05,1.715317651960558e-05,0.3602445403686667
