parameterization,ell,z_m,kr_bg_m-1,w0_bg_m,lg_r_rms_m,bg_r_rms_m,relative_difference_percent
fixed_w0_adjust_kr,9,0.0,166.2178122083665,0.04,0.05590169943749474,0.05590169879236534,-1.1540425564524014e-06
fixed_w0_adjust_kr,9,62.5,166.2178122083665,0.04,0.055913038684682455,0.05591321915462034,0.0003227689678974953
fixed_w0_adjust_kr,9,125.0,166.2178122083665,0.04,0.055947042636936464,0.0559477660082455,0.0012929571876166398
fixed_w0_adjust_kr,9,187.5,166.2178122083665,0.04,0.05600366998981743,0.05600529673048644,0.0029047036905003485
fixed_w0_adjust_kr,9,250.0,166.2178122083665,0.04,0.05608285227479736,0.056085740626620424,0.005150151438287696
fixed_w0_adjust_kr,9,312.5,166.2178122083665,0.04,0.05618449398332623,0.05618899917074735,0.008018560107454479
fixed_w0_adjust_kr,9,375.0,166.2178122083665,0.04,0.05630847369014281,0.05631494707324439,0.011496285864895225
fixed_w0_adjust_kr,9,437.5,166.2178122083665,0.04,0.05645464404168579,0.056463432235885194,0.015566822444072256
fixed_w0_adjust_kr,9,500.0,166.2178122083665,0.04,0.056622833531243935,0.05663427780884235,0.020211418052932615
fixed_w0_adjust_kr,9,562.5,166.2178122083665,0.04,0.056812846083066956,0.05682728169054299,0.02540905529522032
fixed_w0_adjust_kr,9,625.0,166.2178122083665,0.04,0.057024463668233286,0.057042218817503404,0.031136021503713383
fixed_w0_adjust_kr,9,687.5,166.2178122083665,0.04,0.05725744713862059,0.05727884286880025,0.03736759364744477
fixed_w0_adjust_kr,9,750.0,166.2178122083665,0.04,0.05751153655792863,0.05753688618470926,0.04407746392777183
fixed_w0_adjust_kr,9,812.5,166.2178122083665,0.04,0.057786453875797096,0.05781606198830191,0.05123711617336724
fixed_w0_adjust_kr,9,875.0,166.2178122083665,0.04,0.05808190196174478,0.05811606435236744,0.058817616966407665
fixed_w0_adjust_kr,9,937.5,166.2178122083665,0.04,0.058397571111650816,0.0584365747192822,0.0667897771926406
fixed_w0_adjust_kr,9,1000.0,166.2178122083665,0.04,0.05873313467224152,0.05877725672485319,0.07512293164309099
fixed_w0_adjust_kr,10,0.0,174.17832411360482,0.04,0.058630196997792865,0.05863019726225842,4.5107396387087984e-07
fixed_w0_adjust_kr,10,62.5,174.17832411360482,0.04,0.05864208969866162,0.05864226197561853,0.0002937769745139215
fixed_w0_adjust_kr,10,125.0,174.17832411360482,0.04,0.058677753338923076,0.058678441232145044,0.0011723237220664403
fixed_w0_adjust_kr,10,187.5,174.17832411360482,0.04,0.05873714461803926,0.05873869049476851,0.0026318554286269497
fixed_w0_adjust_kr,10,250.0,174.17832411360482,0.04,0.05882019166590661,0.05882293573686367,0.004665185337451326
fixed_w0_adjust_kr,10,312.5,174.17832411360482,0.04,0.05892679440343349,0.05893107410614214,0.007262744820876891
fixed_w0_adjust_kr,10,375.0,174.17832411360482,0.04,0.05905682544398934,0.059062974452078025,0.010412019343163381
fixed_w0_adjust_kr,10,437.5,174.17832411360482,0.04,0.05921013025080993,0.05921847783503496,0.014098236551204084
fixed_w0_adjust_kr,10,500.0,174.17832411360482,0.04,0.05938652869511684,0.059397398779565666,0.018303956617218217
fixed_w0_adjust_kr,10,562.5,174.17832411360482,0.04,0.05958581565240844,0.05959952691972266,0.02301095850429086
fixed_w0_adjust_kr,10,625.0,174.17832411360482,0.04,0.05980776199339054,0.05982462610146785,0.028197189654368026
fixed_w0_adjust_kr,10,687.5,174.17832411360482,0.04,0.0600521171308812,0.06007243894003799,0.03384028761634383
fixed_w0_adjust_kr,10,750.0,174.17832411360482,0.04,0.06031860845615755,0.06034268565015323,0.03991669339185508
fixed_w0_adjust_kr,10,812.5,174.17832411360482,0.04,0.060606943954186275,0.06063506576729306,0.04640031533026977
fixed_w0_adjust_kr,10,875.0,174.17832411360482,0.04,0.06091681292772495,0.060949260662948444,0.05326564812572995
fixed_w0_adjust_kr,10,937.5,174.17832411360482,0.04,0.06124788916818341,0.0612849348561239,0.06048484028365985
fixed_w0_adjust_kr,10,1000.0,174.17832411360482,0.04,0.0615998308587248,0.0616417377600658,0.06803087079428338
