order,psd,regime,lg_beam,bg_beam,r_rms_lg_m,r_rms_bg_m,r_rms_bg_minus_lg_percent,metric,metric_lg,metric_bg,metric_bg_minus_lg_percent
3,kolmogorov,strong,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,retention,0.0308523653480779,0.0298373164546011,-3.2900196857679114
3,kolmogorov,strong,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,spread,20.148839891107105,20.2088357515728,0.29776334910564173
3,kolmogorov,strong,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,entropy,0.6824696662753457,0.6833228183561362,0.12500952393191067
3,von_karman,weak,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,retention,0.5787241345867721,0.5865381722024917,1.3502180311348368
3,von_karman,weak,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,spread,1.7574059187853193,1.757002798088374,-0.02293839417724771
3,von_karman,weak,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,entropy,0.1984341526266244,0.196510221370933,-0.9695565154610708
3,von_karman,moderate,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,retention,0.1325785550582832,0.1297661967900505,-2.121276904093843
3,von_karman,moderate,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,spread,5.610547809183182,5.6185080202766216,0.1418793915348216
3,von_karman,moderate,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,entropy,0.4298621585166269,0.4297975195617836,-0.015037135407866116
3,von_karman,strong,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,retention,0.0325111138667225,0.0323905085640513,-0.37096638142149824
3,von_karman,strong,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,spread,19.363499981345,19.38831515849385,0.12815439963207031
3,von_karman,strong,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,entropy,0.6746628226154355,0.6750489496000545,0.05723258666040722
3,modified_von_karman,weak,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,retention,0.5868052911498122,0.5806526003476125,-1.0485063606266838
3,modified_von_karman,weak,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,spread,1.441757521285322,1.4429553516494105,0.08308126341665488
3,modified_von_karman,weak,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,entropy,0.1946542264367067,0.1968089899981898,1.106969831032014
3,modified_von_karman,moderate,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,retention,0.1363877283333409,0.1324260898705772,-2.904688355158458
3,modified_von_karman,moderate,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,spread,4.581998260902133,4.594121437277666,0.2645827362916947
3,modified_von_karman,moderate,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,entropy,0.4216544361852775,0.4219480845746395,0.06964195420749503
3,modified_von_karman,strong,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,retention,0.034308328974087,0.0340886343366139,-0.6403536518465515
3,modified_von_karman,strong,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,spread,15.58794885543482,15.700942945268864,0.7248810660207351
3,modified_von_karman,strong,LG03,BG03,0.0359582,0.0359351,-0.064241257905026,entropy,0.6516521419543183,0.6531323482418083,0.22714669256681122
