family,psd,regime,order_initial,order_final,beam_initial,beam_final,r_rms_initial_m,r_rms_final_m,r_rms_change_percent,metric,metric_initial,metric_final,metric_change_percent
BG,kolmogorov,strong,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,retention,0.0357989335625968,0.0298373164546011,-16.653057828025574
BG,kolmogorov,strong,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,spread,18.247717614375613,20.2088357515728,10.747196874924295
BG,kolmogorov,strong,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,entropy,0.6616404066763008,0.6833228183561362,3.2770688520604923
BG,von_karman,weak,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,retention,0.7198272042596847,0.6453704321616851,-10.343700773934435
BG,von_karman,weak,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,spread,1.275808742995004,1.5342292566226117,20.25542739430965
BG,von_karman,weak,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,entropy,0.1494915718048317,0.1761905670589047,17.85986656754791
BG,von_karman,weak,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,retention,0.6453704321616851,0.5865381722024917,-9.116045146681605
BG,von_karman,weak,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,spread,1.5342292566226117,1.757002798088374,14.520225090490499
BG,von_karman,weak,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,entropy,0.1761905670589047,0.196510221370933,11.532770823783626
BG,von_karman,moderate,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,retention,0.2159286486624597,0.1601273267111762,-25.84248190174723
BG,von_karman,moderate,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,spread,4.129263772437078,4.916344700187742,19.061047468181762
BG,von_karman,moderate,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,entropy,0.371957283171033,0.4050373669322648,8.893516878931749
BG,von_karman,moderate,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,retention,0.1601273267111762,0.1297661967900505,-18.9606174940324
BG,von_karman,moderate,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,spread,4.916344700187742,5.6185080202766216,14.28222313341995
BG,von_karman,moderate,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,entropy,0.4050373669322648,0.4297975195617836,6.113053918222685
BG,von_karman,strong,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,retention,0.0497135695496768,0.0383662620335156,-22.825372667762853
BG,von_karman,strong,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,spread,15.456823478718942,17.55466351100818,13.572258460333444
BG,von_karman,strong,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,entropy,0.62479776590624,0.6542104929996663,4.70755958142143
BG,von_karman,strong,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,retention,0.0383662620335156,0.0323905085640513,-15.575542554143182
BG,von_karman,strong,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,spread,17.55466351100818,19.38831515849385,10.445381914246454
BG,von_karman,strong,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,entropy,0.6542104929996663,0.6750489496000545,3.1852831502045045
BG,modified_von_karman,weak,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,retention,0.7239215431280803,0.6498898608841126,-10.226478676691297
BG,modified_von_karman,weak,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,spread,1.018074822298555,1.2416729885665845,21.962842157632533
BG,modified_von_karman,weak,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,entropy,0.1464635522008857,0.1733200491552296,18.33664181345829
BG,modified_von_karman,weak,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,retention,0.6498898608841126,0.5806526003476125,-10.653691448934056
BG,modified_von_karman,weak,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,spread,1.2416729885665845,1.4429553516494105,16.21057757849681
BG,modified_von_karman,weak,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,entropy,0.1733200491552296,0.1968089899981898,13.552350670015635
BG,modified_von_karman,moderate,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,retention,0.2108024741051338,0.1635904463268645,-22.39633475778049
BG,modified_von_karman,moderate,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,spread,3.277228062945486,3.971341674494129,21.179899543664703
BG,modified_von_karman,moderate,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,entropy,0.3643681721393145,0.3962956968565818,8.762435129778552
BG,modified_von_karman,moderate,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,retention,0.1635904463268645,0.1324260898705772,-19.050230105747666
BG,modified_von_karman,moderate,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,spread,3.971341674494129,4.594121437277666,15.681847945326114
BG,modified_von_karman,moderate,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,entropy,0.3962956968565818,0.4219480845746395,6.47304220599227
BG,modified_von_karman,strong,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,retention,0.0526719360150357,0.0409209820700947,-22.309705763590262
BG,modified_von_karman,strong,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,spread,11.994787149850218,13.902848518065252,15.907421652237154
BG,modified_von_karman,strong,1,2,BG01,BG02,0.0254144,0.0311607,22.6104098463863,entropy,0.60018963777778,0.6298448849846848,4.9409795405172705
BG,modified_von_karman,strong,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,retention,0.0409209820700947,0.0340886343366139,-16.696441257879584
BG,modified_von_karman,strong,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,spread,13.902848518065252,15.700942945268864,12.933280722056217
BG,modified_von_karman,strong,2,3,BG02,BG03,0.0311607,0.0359351,15.321863757874496,entropy,0.6298448849846848,0.6531323482418083,3.697333075538075
